entry,year,tobacco_prod
AU,1966,13776
AU,1965,12643
AU,1964,17290
AU,1963,13669
AU,1962,11368
AU,1961,15035
AT,2016,143
AT,2015,147
AT,2014,154
AT,2013,161
AT,2012,165
AT,2011,132
AT,2010,0
AT,2009,112
AT,2008,0
AT,2007,400
AT,2006,304
AT,2005,247
AT,2004,234
AT,2003,332
AT,2002,328
AT,2001,284
AT,2000,322
AT,1999,227
AT,1998,234
AT,1997,227
AT,1996,189
AT,1995,263
AT,1994,353
AT,1993,393
AT,1992,320
AT,1991,320
AT,1990,418
AT,1989,404
AT,1988,458
AT,1987,417
AT,1986,461
AT,1985,451
AT,1984,486
AT,1983,465
AT,1982,421
AT,1981,437
AT,1980,431
AT,1979,337
AT,1978,380
AT,1977,585
AT,1976,587
AT,1975,412
AT,1974,561
AT,1973,591
AT,1972,370
AT,1971,630
AT,1970,596
AT,1969,677
AT,1968,632
AT,1967,544
AT,1966,595
AT,1965,596
AT,1964,766
AT,1963,657
AT,1962,452
AT,1961,608
AZ,2016,3585
AZ,2015,3466
AZ,2014,2858
AZ,2013,3452
AZ,2012,4278
AZ,2011,3587
AZ,2010,3243
AZ,2009,2609
AZ,2008,2485
AZ,2007,2914
AZ,2006,4845
AZ,2005,7135
AZ,2004,6518
AZ,2003,4685
AZ,2002,3273
AZ,2001,12738
AZ,2000,17258
AZ,1999,8626
AZ,1998,14638
AZ,1997,15087
AZ,1996,11188
AZ,1995,11713
AZ,1994,20800
AZ,1993,44900
AZ,1992,52300
BD,2016,87628
BD,2015,94221
BD,2014,85e3
BD,2013,79e3
BD,2012,85419
BD,2011,79234
BD,2010,55288
BD,2009,40265
BD,2008,40248
BD,2007,39180
BD,2006,42710
BD,2005,38e3
BD,2004,39e3
BD,2003,37e3
BD,2002,38e3
BD,2001,37e3
BD,2000,35e3
BD,1999,29e3
BD,1998,36655
BD,1997,38100
BD,1996,39375
BD,1995,38e3
BD,1994,37770
BD,1993,36380
BD,1992,34080
BD,1991,33775
BD,1990,37800
BD,1989,39301
BD,1988,41545
BD,1987,39990
BD,1986,46475
BD,1985,49334
BD,1984,47834
BD,1983,50447
BD,1982,51046
BD,1981,47378
BD,1980,39524
BD,1979,43744
BD,1978,49873
BD,1977,63534
BD,1976,45176
BD,1975,40370
BD,1974,41599
BD,1973,39877
BD,1972,34724
BD,1971,47700
BD,1970,41200
BD,1969,40600
BD,1968,39100
BD,1967,38100
BD,1966,27300
BD,1965,27200
BD,1964,28200
BD,1963,29100
BD,1962,31800
BD,1961,25900
BE,2016,132
BE,2015,150
BE,2014,183
BE,2013,190
BE,2012,129
BE,2011,186
BE,2010,211
BE,2009,153
BE,2008,191
BE,2007,158
BE,2006,209
BE,2005,777
BE,2004,1221
BE,2003,1300
BE,2002,1200
BE,2001,1400
BE,2000,1200
BJ,2016,3
BJ,2015,4
BJ,2014,5
BJ,2013,21
BJ,2012,15
BJ,2011,399
BJ,2010,470
BJ,2009,93
BJ,2008,204
BJ,2007,684
BJ,2006,485
BJ,2005,1032
BJ,2004,769
BJ,2003,863
BJ,2002,742
BJ,2001,621
BJ,2000,679
BJ,1999,702
BJ,1998,583
BJ,1997,400
BJ,1996,436
BJ,1995,302
BJ,1994,338
BJ,1993,238
BJ,1992,459
BJ,1991,272
BJ,1990,257
BJ,1989,322
BJ,1988,409
BJ,1987,258
BJ,1986,431
BJ,1985,449
BJ,1984,263
BJ,1983,194
BJ,1982,223
BJ,1981,716
BJ,1980,360
BJ,1979,551
BJ,1978,293
BJ,1977,439
BJ,1976,252
BJ,1975,1238
BJ,1974,1249
BJ,1973,1264
BJ,1972,1151
BJ,1971,996
BJ,1970,876
BJ,1969,1006
BJ,1968,809
BJ,1967,867
BJ,1966,780
BJ,1965,994
BJ,1964,718
BJ,1963,492
BJ,1962,830
BJ,1961,731
BT,2016,175
BT,2015,175
BT,2014,174
BT,2013,199
BT,2012,200
BT,2011,196
BT,2010,194
BT,2009,193
BT,2008,191
BT,2007,190
BT,2006,189
BT,2005,187
BT,2004,185
BT,2003,184
BT,2002,182
BT,2001,180
BT,2000,178
BT,1999,176
BT,1998,174
BT,1997,171
BT,1996,169
BT,1995,166
BT,1994,163
BT,1993,160
BT,1992,155
BT,1991,145
BT,1990,140
BT,1989,135
BT,1988,130
BT,1987,125
BT,1986,120
BT,1985,115
BT,1984,106
BT,1983,100
BT,1982,70
BT,1981,70
BT,1980,70
BO,2016,1220
BO,2015,1263
BO,2014,1133
BO,2013,813
BO,2012,808
BO,2011,825
BO,2010,828
BO,2009,1284
BO,2008,1269
BO,2007,1244
BO,2006,1170
BO,2005,1161
BO,2004,1087
BO,2003,1026
BO,2002,980
BO,2001,978
BO,2000,975
BO,1999,965
BO,1998,920
BO,1997,920
BO,1996,905
BO,1995,890
BO,1994,860
BO,1993,830
BO,1992,792
BO,1991,968
