"entry","year","no_report","sum_art05","sum_art06","sum_art08","sum_art11","sum_art13","sum_art14"
"AF","2014",0,4,0,2,0,<NA>,<NA>
"AF","2016",0,4,4,5,12,5,3
"AF","2018",0,5,3,5,11,4,13
"AL","2014",0,6,4,3,12,6,14
"AL","2016",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"AL","2018",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"DZ","2014",0,4,4,4,7,10,11
"DZ","2016",0,5,6,4,7,9,13
"DZ","2018",0,5,6,4,8,9,15
"AO","2014",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"AO","2016",0,4,2,3,7,8,22
"AO","2018",0,4,3,3,7,8,22
"AG","2014",0,3,0,1,0,0,5
"AG","2016",0,3,0,0,0,0,5
"AG","2018",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"AM","2014",0,5,4,4,10,6,16
"AM","2016",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"AM","2018",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"AU","2014",0,5,5,6,14,11,37
"AU","2016",0,5,6,6,15,9,41
"AU","2018",0,5,6,6,15,9,41
"AT","2014",0,3,6,7,10,11,27
"AT","2016",0,4,5,7,10,11,30
"AT","2018",0,4,6,7,12,12,30
"AZ","2014",0,2,3,5,6,4,5
"AZ","2016",0,2,3,5,8,4,3
"AZ","2018",0,3,4,5,8,5,7
"BS","2014",0,2,4,3,0,4,21
"BS","2016",0,0,3,1,4,2,13
"BS","2018",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"BH","2014",0,5,3,6,15,12,32
"BH","2016",0,4,5,6,14,8,32
"BH","2018",0,6,6,6,14,10,33
"BD","2014",0,5,4,6,12,11,9
"BD","2016",0,5,4,6,12,11,9
"BD","2018",0,5,4,6,12,11,9
"BB","2014",0,2,4,3,1,0,25
"BB","2016",0,3,6,4,0,4,14
"BB","2018",0,3,6,3,6,0,14
"BY","2014",0,6,4,4,11,7,32
"BY","2016",0,6,5,4,13,7,32
"BY","2018",0,6,6,6,13,8,29
"BE","2014",0,4,3,4,12,8,24
"BE","2016",0,4,4,4,13,8,23
"BE","2018",0,4,5,4,14,8,39
"BZ","2014",0,4,1,2,3,0,10
"BZ","2016",0,3,4,2,10,0,19
"BZ","2018",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"BJ","2014",0,3,3,5,10,9,8
"BJ","2016",0,3,5,6,9,10,4
"BJ","2018",0,2,3,6,9,10,4
"BT","2014",0,6,4,5,8,7,14
"BT","2016",0,4,1,4,<NA>,2,14
"BT","2018",0,6,4,7,10,13,18
"BO","2014",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"BO","2016",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"BO","2018",0,2,3,4,12,4,1
"BA","2014",0,6,5,5,11,8,30
"BA","2016",0,4,5,5,12,4,30
"BA","2018",0,3,4,5,11,11,26
"BW","2014",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"BW","2016",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"BW","2018",0,3,4,4,11,12,26
"BR","2014",0,5,4,6,10,8,27
"BR","2016",0,6,5,6,13,7,19
"BR","2018",0,6,5,6,11,5,22
"BN","2014",0,3,4,4,10,9,21
"BN","2016",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"BN","2018",0,4,4,4,11,9,22
"BG","2014",0,7,5,5,9,10,34
"BG","2016",0,4,5,4,10,14,32
"BG","2018",0,4,5,4,10,15,35
"BF","2014",0,6,4,5,15,9,12
"BF","2016",0,6,4,6,13,13,3
"BF","2018",0,6,5,6,13,13,3
"BI","2014",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"BI","2016",0,2,3,1,0,6,2
"BI","2018",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"KH","2014",0,4,3,2,9,10,17
"KH","2016",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"KH","2018",0,5,2,1,<NA>,0,0
"CM","2014",0,2,1,3,9,8,20
"CM","2016",0,4,1,0,9,3,26
"CM","2018",0,4,2,5,10,7,29
"CA","2014",0,6,6,7,14,11,31
"CA","2016",0,6,6,7,14,11,40
"CA","2018",0,6,6,7,14,12,41
<NA>,"2014",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
<NA>,"2016",0,5,4,3,5,4,8
<NA>,"2018",0,5,5,3,5,4,8
"CF","2014",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"CF","2016",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"CF","2018",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"TD","2014",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"TD","2016",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"TD","2018",0,4,6,4,14,10,9
"CL","2014",0,4,5,6,13,8,8
"CL","2016",0,5,5,6,12,8,10
"CL","2018",0,5,5,6,14,8,9
"CN","2014",0,6,5,5,9,11,22
"CN","2016",0,6,6,5,10,7,26
"CN","2018",0,6,6,5,10,7,28
"CO","2014",0,3,4,5,12,11,3
"CO","2016",0,3,6,5,12,11,2
"CO","2018",0,3,6,5,12,11,21
"KM","2014",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"KM","2016",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"KM","2018",0,6,3,5,15,10,17
"CG","2014",0,4,3,6,5,5,13
"CG","2016",0,4,6,5,11,9,16
"CG","2018",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"CK","2014",0,4,2,3,13,9,25
"CK","2016",0,5,5,4,12,11,26
"CK","2018",0,5,6,4,12,11,26
"CR","2014",0,5,5,5,12,8,25
"CR","2016",0,3,6,4,13,12,28
"CR","2018",0,2,7,4,13,12,28
"CI","2014",0,3,4,4,0,4,11
"CI","2016",0,3,3,4,2,3,12
"CI","2018",0,3,4,4,2,5,16
"HR","2014",0,4,3,4,11,9,14
"HR","2016",0,6,5,4,12,9,24
"HR","2018",0,6,5,3,12,11,24
"CY","2014",0,4,2,5,10,11,18
"CY","2016",0,5,4,5,11,7,25
"CY","2018",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"CZ","2014",0,5,6,6,10,13,20
"CZ","2016",0,4,4,6,10,13,24
"CZ","2018",0,4,5,6,11,13,26
"KP","2014",0,5,1,5,15,11,20
"KP","2016",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"KP","2018",0,5,3,5,11,8,19
"CD","2014",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"CD","2016",0,4,2,2,10,5,3
"CD","2018",0,5,1,3,8,5,3
"DK","2014",0,5,4,4,12,8,26
"DK","2016",0,5,6,4,12,8,24
"DK","2018",0,5,5,4,10,5,21
"DJ","2014",0,4,2,3,13,11,3
"DJ","2016",0,4,4,3,15,13,0
"DJ","2018",0,4,4,3,15,13,0
"DM","2014",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"DM","2016",0,2,3,1,0,5,1
"DM","2018",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"EC","2014",0,4,5,4,15,9,17
"EC","2016",0,3,7,6,15,11,15
"EC","2018",0,3,8,6,14,11,18
"EG","2014",0,5,4,3,14,7,10
"EG","2016",0,4,4,3,13,10,14
"EG","2018",0,4,4,3,13,10,14
"SV","2014",0,2,4,4,12,7,16
"SV","2016",0,3,5,4,13,0,19
"SV","2018",0,3,5,4,13,0,14
"GQ","2014",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"GQ","2016",0,0,1,4,0,0,0
"GQ","2018",0,0,1,4,0,0,0
"EE","2014",0,5,5,6,11,2,18
"EE","2016",0,4,5,5,12,2,20
"EE","2018",0,4,5,5,12,2,26
"ET","2014",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"ET","2016",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"ET","2018",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"EU","2014",0,5,5,2,13,7,2
"EU","2016",0,6,5,2,11,7,6
"EU","2018",0,6,5,2,11,7,6
"FJ","2014",0,4,4,5,11,7,13
"FJ","2016",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"FJ","2018",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"FI","2014",0,4,6,5,11,11,34
"FI","2016",0,4,6,5,11,11,36
"FI","2018",0,4,6,5,11,12,36
"FR","2014",0,2,5,4,11,10,25
"FR","2016",0,4,4,3,12,5,24
"FR","2018",0,4,6,4,10,6,28
"GA","2014",0,5,4,2,7,9,1
"GA","2016",0,3,1,4,11,8,0
"GA","2018",0,3,3,5,14,8,0
"GM","2014",0,6,2,3,7,15,11
"GM","2016",0,6,5,4,5,5,13
"GM","2018",0,6,5,4,5,5,13
"GE","2014",0,3,5,3,9,5,18
"GE","2016",0,4,5,2,9,3,5
"GE","2018",0,6,6,4,11,8,12
"DE","2014",0,5,5,5,8,9,23
"DE","2016",0,5,6,5,9,11,19
"DE","2018",0,5,6,5,11,12,19
"GH","2014",0,6,2,5,12,8,12
"GH","2016",0,6,5,5,11,8,14
"GH","2018",0,6,5,5,13,8,14
"GR","2014",0,3,6,5,11,13,24
"GR","2016",0,3,8,2,9,5,24
"GR","2018",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"GD","2014",0,3,1,4,1,1,1
"GD","2016",0,3,4,3,3,0,0
"GD","2018",0,3,4,3,3,5,0
"GT","2014",0,1,4,4,5,0,11
"GT","2016",0,2,5,4,5,1,0
"GT","2018",0,2,5,4,5,1,0
"GN","2014",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"GN","2016",0,4,0,4,0,5,0
"GN","2018",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"GW","2014",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"GW","2016",0,1,0,1,0,1,1
"GW","2018",0,1,0,1,0,1,1
"GY","2014",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"GY","2016",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"GY","2018",0,4,4,1,14,1,19
"HN","2014",0,4,4,3,14,11,28
"HN","2016",0,4,6,4,15,13,31
"HN","2018",0,4,6,4,15,13,31
"HU","2014",0,3,6,5,10,4,25
"HU","2016",0,5,7,6,11,9,29
"HU","2018",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"IS","2014",0,5,7,4,9,8,19
"IS","2016",0,4,7,4,9,8,17
"IS","2018",0,4,7,4,9,8,17
"IN","2014",0,5,6,6,12,8,29
"IN","2016",0,5,7,6,13,6,29
"IN","2018",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"IR","2014",0,5,5,7,15,11,24
"IR","2016",0,5,6,4,15,11,30
"IR","2018",0,5,7,4,15,11,31
"IQ","2014",0,5,2,4,10,12,15
"IQ","2016",0,6,3,6,12,7,20
"IQ","2018",0,6,4,5,13,8,27
"IE","2014",0,5,6,4,11,6,36
"IE","2016",0,5,8,4,10,6,37
"IE","2018",0,5,8,4,11,7,38
"IL","2014",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"IL","2016",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"IL","2018",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"IT","2014",0,3,5,4,11,8,28
"IT","2016",0,3,9,4,12,6,28
"IT","2018",0,3,9,4,12,6,32
"JM","2014",0,4,4,3,13,0,25
"JM","2016",0,4,6,4,14,0,27
"JM","2018",0,4,6,4,14,2,29
"JP","2014",0,5,5,1,9,15,20
"JP","2016",0,5,6,1,9,15,21
"JP","2018",0,5,5,1,8,15,21
"JO","2014",0,4,2,7,15,10,26
"JO","2016",0,5,5,7,13,10,27
"JO","2018",0,6,5,7,13,10,29
"KZ","2014",0,3,2,5,14,6,12
"KZ","2016",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"KZ","2018",0,1,0,3,12,5,23
"KE","2014",0,6,6,3,11,13,12
"KE","2016",0,6,4,4,14,11,8
"KE","2018",0,6,4,4,14,11,8
"KI","2014",0,3,3,6,14,7,24
"KI","2016",0,3,3,6,15,7,24
"KI","2018",0,4,3,6,15,7,24
