"entry","ego_number","countrycode","year","continent","who_region","who_pac_sea","population","labor","democracy","GL_total","tobac_prod","GDP","womens_rights","number_ngos","perc_female_smoke","perc_male_smoke","diag_inb_fctc","time","who_reg2","GL_any","toa_year_fctc","toa_month_fctc","toa_year_corrupt","toa_month_corrupt","toa_year_pollute","toa_month_pollute","toa_year_picc","toa_month_picc","meanall","meanallart","meanallart50","year_ratification","year_signature","pol_shift_left","pol_shift_right","pol_shift","signature","ratification","no_report","sum_art05","sum_art06","sum_art08","sum_art11","sum_art13","bloomberg_count","bloomberg_amount","bloomberg_fctc_count","bloomberg_fctc_amount","govtown","country_name","Europe","Asia","America","Africa","Pacific","European","Eastern Mediterranean","Americas","African","Western Pacific","South-East Asia","Years since Ratif.","Years since Sign.","tobac_prod_pp","bloomberg_amount_pp","bloomberg_fctc_amount_pp","logPopulation","subscribed"
"AO",5,"AGO",2010,"Africa","African",0,0.137385630498314,5.14646614462294,1.05900244705255,0,0.0225718642763054,0.176922389555096,1,0,0.801313042925731,2.60773555246393,37,9,"African",0,6,93,5,80,5,82,10,<NA>,<NA>,<NA>,<NA>,2007,2004,0,0,0,20040629,20070920,1,0,0,0,0,0,0,0,0,0,0,"Angola",0,0,0,1,0,0,0,0,1,0,0,3,6,0.20345550649377,0,0,7.73672233328922,0
"AO",5,"AGO",2012,"Africa","African",0,0.149903267263307,5.15948356013344,1.05900244705255,0,0.0241841247620683,0.181527924988893,1,0,0.801313042925731,2.60773555246393,37,11,"African",0,6,93,5,80,5,82,10,<NA>,<NA>,<NA>,<NA>,2007,2004,0,0,0,20040629,20070920,1,0,0,0,0,0,0,0,0,0,0,"Angola",0,0,0,1,0,0,0,0,1,0,0,3,6,0.199784874564974,0,0,7.77696450433342,0
"AT",10,"AUT",2012,"Europe","European",0,0.0606941080448391,5.18952890326472,3.25846906785399,11,0,2.84038317033069,1,0,4.70506625952849,3.9446616126644,138,11,"European",1,4,69,5,73,1,32,2,48,<NA>,<NA>,<NA>,2005,2003,0,1,1,20030828,20050915,0,2,6,7,6,9,0,0,0,0,0,"Austria",1,0,0,0,0,1,0,0,0,0,0,5,7,0,0,0,7.35970114986917,29
"AT",10,"AUT",2010,"Europe","European",0,0.0604045327623076,5.1493735190828,3.25846906785399,11,0,2.74469453472183,1,0,4.70506625952849,3.9446616126644,138,9,"European",1,4,69,5,73,1,32,2,48,<NA>,<NA>,<NA>,2005,2003,0,1,1,20030828,20050915,1,0,0,0,0,0,0,0,0,0,0,"Austria",1,0,0,0,0,1,0,0,0,0,0,5,7,0,0,0,7.35749403016333,29
"AU",9,"AUS",2010,"Pacific","Western Pacific",1,0.160553726638416,5.07702315477636,3.25846906785399,274,0.0173924314375704,2.48391540635923,1,6,1.98347779023534,1.85386974215662,374,9,"Western Pac",1,3,58,4,72,3,53,10,<NA>,<NA>,<NA>,<NA>,2004,2003,0,1,1,20031205,20041027,0,4,6,2,10,6,0,0,0,0,0,"Australia",0,0,0,0,1,0,0,0,0,1,0,6,7,0.134147702459134,0,0,7.80864122326248,51
"AU",9,"AUS",2012,"Pacific","Western Pacific",1,0.163607154717024,5.10577561452782,3.25846906785399,293,0.0177350284501105,2.556030106084,1,6,1.98347779023534,1.85386974215662,374,11,"Western Pac",1,3,58,4,72,3,53,10,<NA>,<NA>,<NA>,<NA>,2004,2003,0,1,1,20031205,20041027,0,5,6,6,11,10,1,0.343173761864526,1,0.678095049784224,0,"Australia",0,0,0,0,1,0,0,0,0,1,0,6,7,0.134237213042583,0.00528048991213241,0.00527985036903152,7.817335686509,51
"AZ",11,"AZE",2010,"Asia","European",0,0.0651892279222889,5.4993280970222,0.651693813570797,1,0.0130715157541115,0.214692784674006,1,2,0.801313042925731,3.42223463082449,14,9,"European",1,4,71,4,71,3,49,10,<NA>,<NA>,<NA>,<NA>,2005,2005,<NA>,<NA>,0,<NA>,20051101,0,1,3,1,4,4,0,0,0,0,0,"Azerbaijan",0,1,0,0,0,1,0,0,0,0,0,5,5,0.24830956130636,0,0,7.39267430969772,0
"AZ",11,"AZE",2012,"Asia","European",0,0.0669276299888679,5.49428663184516,0.651693813570797,1,0.0172432765218175,0.213857724533085,1,2,0.801313042925731,3.42223463082449,14,11,"European",1,4,71,4,71,3,49,10,<NA>,<NA>,<NA>,<NA>,2005,2005,<NA>,<NA>,0,<NA>,20051101,0,1,3,3,5,4,0,0,0,0,0,"Azerbaijan",0,1,0,0,0,1,0,0,0,0,0,5,5,0.319049211768738,0,0,7.40481993557285,0
"BA",22,"BIH",2010,"Europe","European",0,0.0270722578079495,4.48000480276347,1.98787088576914,8,0.007472886292348,0.227656966443624,1,1,3.72060461683671,3.86929236267318,47,9,"European",1,8,115,5,82,9,123,10,<NA>,<NA>,<NA>,<NA>,2009,2009,<NA>,<NA>,0,<NA>,20090710,1,0,0,0,0,0,0,0,0,0,1,"Bosnia and Herzegovina",1,0,0,0,0,1,0,0,0,0,0,1,1,0.341827679135691,0,0,6.98711409136937,0
"BA",22,"BIH",2012,"Europe","European",0,0.0276033642193494,4.35585067401043,2.25697015858646,11,0.00602185123733289,0.227770048253954,1,1,3.72060461683671,3.86929236267318,47,11,"European",1,8,115,5,82,9,123,10,<NA>,<NA>,<NA>,<NA>,2009,2009,<NA>,<NA>,0,<NA>,20090710,0,4,2,6,8,10,0,0,0,0,1,"Bosnia and Herzegovina",1,0,0,0,0,1,0,0,0,0,0,1,1,0.270153958877521,0,0,6.99608020652231,0
