General Trade,Tobacco Trade,Minimal distance,Centroid Distance,Country Borders,GlobalLink Posts,GlobalLink Referrals,FCTC COP co-participation,FCTC INB co-participation,Interest Group co-membership
sum_art05,0.08 (0.13) ,0.09 (0.11) ,0.13 (0.16) ,0.46 (0.83) ,0.14 (0.11) ,0.12 (0.12) ,0.08 (0.09) ,-0.06 (0.17) ,-0.13 (0.14) ,0.15 (0.08) *
sum_art06,0.23 (0.13) *,0.27 (0.11) **,0.22 (0.18) ,0.70 (0.79) ,0.13 (0.12) ,0.20 (0.11) *,0.23 (0.08) ***,-0.07 (0.17) ,0.18 (0.16) ,0.22 (0.08) ***
sum_art08,0.49 (0.31) ,0.68 (0.21) ***,0.17 (0.26) ,2.38 (1.52) ,0.20 (0.20) ,0.40 (0.22) *,0.33 (0.16) **,-0.04 (0.37) ,0.14 (0.36) ,0.50 (0.23) **
sum_art11,0.36 (0.18) **,0.30 (0.14) **,0.39 (0.20) *,1.94 (0.95) **,0.26 (0.14) *,0.38 (0.13) ***,0.25 (0.10) **,0.40 (0.23) *,0.59 (0.21) ***,0.32 (0.12) ***
sum_art13,0.12 (0.16) ,0.10 (0.13) ,0.23 (0.21) ,0.61 (0.84) ,0.08 (0.15) ,0.13 (0.16) ,0.11 (0.10) ,0.40 (0.23) *,0.29 (0.18) ,0.38 (0.13) ***
