"","Centroid Distance","General Trade","Tobacco Trade","GLOBALink Referrals","GLOBALink co-subscription"
"Article 5","0.34 ***","-0.12 ","-0.10 ","-0.01 ","-0.04 "
"","(0.07)","(0.07)","(0.07)","(0.08)","(0.08)"
"Article 6","0.67 ***","0.19 **","0.26 ***","0.32 ***","0.10 "
"","(0.09)","(0.09)","(0.09)","(0.10)","(0.10)"
"Article 8","0.40 ***","0.08 ","0.09 ","0.37 ***","0.23 ***"
"","(0.08)","(0.08)","(0.08)","(0.08)","(0.08)"
"Article 11","2.12 ***","0.27 ","0.27 ","0.79 ***","0.71 ***"
"","(0.21)","(0.22)","(0.23)","(0.25)","(0.26)"
"Article 13","0.76 ***","-0.32 ","-0.32 ","0.04 ","0.40 *"
"","(0.24)","(0.21)","(0.21)","(0.24)","(0.24)"
"Article 14","1.68 ***","-0.43 ","-0.01 ","0.41 ","0.73 "
"","(0.51)","(0.45)","(0.46)","(0.54)","(0.51)"
Standard Errors in parenthesis. Signif. codes: 0.01: '***' 0.05: '**' 0.10 '*'
"Note: This specification includes 'percapita amount of Bloomberg funds'. "
