"","Article 5","Article 6","Article 8","Article 11","Article 13"
"General Trade","-0.04 ","0.07 ","0.17 ","-0.06 ","-0.06 "
"","(0.13)","(0.16)","(0.26)","(0.20)","(0.19)"
"Tobacco Trade","-0.04 ","0.10 ","0.20 ","0.05 ","-0.00 "
"","(0.08)","(0.09)","(0.13)","(0.11)","(0.11)"
"Minimal distance","0.05 ","0.18 ","-0.00 ","0.19 ","0.37 **"
"","(0.10)","(0.13)","(0.14)","(0.13)","(0.17)"
"Centroid Distance","-0.06 ","0.45 ","1.42 ","0.90 ","0.08 "
"","(0.54)","(0.59)","(0.87)","(0.65)","(0.67)"
"Country Borders","0.00 ","0.03 ","-0.10 ","0.05 ","0.11 "
"","(0.07)","(0.09)","(0.11)","(0.10)","(0.12)"
"GlobalLink Posts","0.00 ","0.06 ","0.17 ","0.14 ","-0.08 "
"","(0.07)","(0.08)","(0.13)","(0.09)","(0.12)"
"GlobalLink Referrals","-0.09 ","0.10 ","0.05 ","0.03 ","0.01 "
"","(0.06)","(0.07)","(0.10)","(0.08)","(0.09)"
"FCTC COP co-participation","0.05 ","-0.21 ","0.07 ","0.15 ","0.30 "
"","(0.14)","(0.18)","(0.33)","(0.21)","(0.24)"
"FCTC INB co-participation","-0.21 *","0.08 ","-0.07 ","0.47 **","0.40 *"
"","(0.12)","(0.17)","(0.32)","(0.21)","(0.21)"
"Interest Group co-membership","-0.00 ","0.06 ","-0.21 ","0.10 ","0.16 "
"","(0.07)","(0.08)","(0.17)","(0.11)","(0.14)"
