1. Distance (static).static
2. General Trade.static
3. Tobacco Trade.static
4. Phone.static
5. Colonial Linkage (static).static
6. FCTC INB co-participation (two-mode).static
7. FCTC COP co-participation (two-mode).static
8.  CAC INB.static
9. COP Corrupt II (two-mode).static
10. Pollute INC (two-mode).static
11. Pollut COP.static
12. Referrals.dynamic
13. GL Posts.dynamic
14. Interest Group co-membership (two-mode).dynamic
15. Bank of International Settlements.dynamic
16. Bilateral Aid Flow.dynamic
17. Bilateral Investment Treaties.dynamic
18. IMF assetts.dynamic
